st_gender,st_spg,st_mmog,st_age,st_immig,st_belong,st_repeat,pa_books,pa_educ,pa_escs,W_FSTUWT,math_score,scie_score,read_score,good_math,good_scie,good_read,bad_math,bad_scie,bad_read
Female,Once or twice a week,Never or hardly ever,15.83,Native,-.4747,0,101-200 books,13,-.5011,110.4779,675.65521,706.37439,615.9671,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.25,Native,-1.1579,0,201-500 books,13,-.6242,110.4779,571.40302,561.99188,589.60828,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.17,Native,.2048,0,101-200 books,15,.7801,110.4779,491.8895,481.013,515.68188,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16,Native,-.5558999999999999,0,26-100 books,10,-.8239,110.4779,561.6449,544.45728,580.60681,0,0,0,0,0,0
Female,Once or twice a month,Never or hardly ever,15.83,Native,.9646,0,More than 500 books,18,1.4639,110.4779,618.53571,626.28998,642.08789,1,1,1,0,0,0
Female,Once or twice a month,Never or hardly ever,16,Native,.2947,0,101-200 books,15,.4449,110.4779,524.35712,539.80603,537.349,0,0,0,0,0,0
Male,Never or hardly ever,Never or hardly ever,15.83,Native,.2774,0,11-25 books,10,-1.2132,105.4217,503.77081,536.97137,519.71997,0,0,0,0,0,0
Male,Almost every day,Almost every day,15.92,Native,-1.0891,0,26-100 books,13,.1035,105.4217,545.21088,571.30658,522.13818,0,0,0,0,0,0
Male,Almost every day,Once or twice a week,16.08,Native,-1.1064,0,101-200 books,13,-.5184,105.4217,543.526,497.79031,529.89221,0,0,0,0,0,0
Male,Once or twice a week,Every day,15.83,Native,.412,0,0-10 books,10,-.4072,105.4217,559.51318,574.4472,582.18237,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.75,Native,.4638,0,101-200 books,10,-.719,109.6559,469.53171,473.5426,460.98239,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.58,Native,1.398,0,26-100 books,10,-.2244,109.6559,486.0549,450.77209,541.88757,0,0,0,0,0,0
Male,Once or twice a month,Almost every day,15.5,Native,.9357,0,26-100 books,13,-.0762,109.6747,586.04321,582.6712,537.65997,0,0,0,0,0,0
Male,Almost every day,Almost every day,15.5,Native,2.5915,0,11-25 books,13,-1.0609,109.6747,551.73529,487.85391,491.9267,0,0,0,0,0,0
Male,Almost every day,Every day,15.67,Native,-.3381,0,11-25 books,13,-.2621,109.6747,527.83209,545.01648,552.28778,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.58,Native,.6642,0,0-10 books,13,-.8854,141.6046,495.02219,473.95261,489.64191,0,0,0,0,0,0
Female,Once or twice a week,Never or hardly ever,15.58,Native,-2.0518,0,26-100 books,15,.1253,141.6046,456.87689,434.3992,421.3804,0,0,0,0,1,1
Male,Every day,Every day,15.75,Native,-1.8419,0,0-10 books,18,-.0492,141.6289,455.397,475.12161,433.38599,0,0,0,0,0,1
Male,Once or twice a month,Never or hardly ever,16.25,Native,-.7862,0,11-25 books,10,-1.2261,141.6289,515.14063,536.53082,498.29871,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.17,Native,-.2808,0,26-100 books,15,-.4477,142.6662,429.15381,443.1445,457.5582,0,0,0,1,1,0
Female,Never or hardly ever,Never or hardly ever,16,Native,-.5351,0,26-100 books,13,.0193,142.6662,481.2471,482.75449,439.52328,0,0,0,0,0,1
Female,Once or twice a month,Never or hardly ever,15.92,Native,-.3381,0,26-100 books,15,.0614,142.6662,545.3241,593.27301,532.979,0,0,0,0,0,0
Male,Never or hardly ever,Every day,16.25,Native,-.7309,0,26-100 books,13,-.5639,136.1368,587.64227,592.51532,512.78741,0,0,0,0,0,0
Male,Once or twice a week,Almost every day,16.25,Second-Generation,.0068,0,More than 500 books,15,-.2219,136.1368,497.5607,548.6366,469.19159,0,0,0,0,0,0
Male,Once or twice a week,Never or hardly ever,16.08,Native,-1.8419,0,201-500 books,13,.1991,136.1368,516.35388,512.52222,478.07211,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.5,Native,.2947,0,26-100 books,15,-.0497,141.6046,418.68671,424.92191,408.0701,0,0,0,1,1,1
Male,Never or hardly ever,Never or hardly ever,15.5,Native,-1.0795,0,0-10 books,13,-.462,141.6289,477.37299,499.9458,435.784,0,0,0,0,0,1
Male,Every day,Every day,15.5,Native,2.5915,0,0-10 books,15,.3583,112.298,406.59,401.2421,425.8168,0,0,0,1,1,1
Male,Almost every day,Every day,15.42,First-Generation,2.5915,0,11-25 books,10,-1.5094,112.298,392.35419,377.12839,371.79568,0,0,0,1,1,1
Female,Never or hardly ever,Never or hardly ever,16.33,Second-Generation,.6642,0,11-25 books,10,-1.338,134.7644,444.8707,463.5787,484.55249,0,0,0,1,0,0
Female,Never or hardly ever,Never or hardly ever,15.58,Second-Generation,-.766,1,0-10 books,13,-.9643,134.7644,397.9881,375.33661,403.1348,0,0,0,1,1,1
Male,Every day,Every day,15.92,Native,2.5915,0,26-100 books,10,-.8027,112.298,460.61169,414.4202,369.31369,0,0,0,0,1,1
Male,Every day,Every day,15.58,Native,2.5991,0,26-100 books,10,-1.0695,112.298,486.5683,495.3808,478.18829,0,0,0,0,0,0
Male,Once or twice a week,Once or twice a week,15.5,Native,-2.0945,0,101-200 books,10,-.6185,112.298,446.88229,419.71219,466.72919,0,0,0,1,1,0
Male,Almost every day,Once or twice a week,15.42,Native,.0171,0,26-100 books,18,.9508,112.298,531.3587,508.4968,454.1362,0,0,0,0,0,0
Male,Once or twice a month,Almost every day,15.83,Native,-.3381,0,201-500 books,18,.4923,112.298,447.64951,409.90201,388.29111,0,0,0,1,1,1
Male,Every day,Every day,15.92,Native,.9646,0,26-100 books,10,-1.2576,112.298,454.14221,457.9827,436.76001,0,0,0,0,0,1
Male,Every day,Every day,15.5,Native,1.0269,1,11-25 books,13,-.6816,95.10508,515.21088,529.02069,498.1926,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.42,Native,-.1144,0,201-500 books,13,-.1626,95.10508,529.36877,564.67261,572.099,0,0,0,0,0,0
Female,Once or twice a week,Never or hardly ever,15.5,Native,.1052,0,101-200 books,18,.7433,95.10508,528.03949,530.4256,490.418,0,0,0,0,0,0
Female,Once or twice a month,Once or twice a week,15.33,Native,-1.0501,0,More than 500 books,18,1.6403,95.10508,545.97162,583.2796,589.40198,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.33,Native,-.4725,0,201-500 books,15,-.1835,95.10508,467.07629,459.9165,545.3288,0,0,0,0,0,0
Male,Once or twice a week,Every day,15.58,Native,-.0153,0,201-500 books,15,.2322,95.10508,570.617,587.43811,584.17352,0,0,0,0,0,0
Male,Once or twice a week,Once or twice a week,15.58,Native,-.7089,0,11-25 books,13,-.2838,95.10508,504.034,516.91119,547.50891,0,0,0,0,0,0
Male,Once or twice a week,Every day,15.42,Second-Generation,2.5915,0,201-500 books,15,.3022,95.10508,473.13611,466.2637,485.48871,0,0,0,0,0,0
Male,Once or twice a month,Never or hardly ever,15.67,Native,.3171,0,26-100 books,15,.3372,95.10508,483.85849,477.65921,475.31921,0,0,0,0,0,0
Male,Once or twice a week,Once or twice a week,15.75,Native,-.6334,0,11-25 books,10,-1.1317,95.10508,579.5332,610.53607,561.61121,0,1,0,0,0,0
Male,Every day,Every day,15.67,Native,-.0499,0,26-100 books,10,-.4369,95.10508,481.64951,452.53619,511.29721,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.25,Native,.1282,0,More than 500 books,18,1.3032,99.10548,507.0036,494.1713,568.04883,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.17,Native,.5301,0,11-25 books,15,.3242,99.10548,542.16962,580.31281,625.71777,0,0,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.67,Native,-.085,0,26-100 books,18,1.4857,99.10548,515.38123,581.71979,603.5376,0,0,1,0,0,0
Female,Almost every day,Almost every day,16,Native,.6642,0,101-200 books,18,1.2806,99.10548,605.51788,597.17682,689.17407,1,0,1,0,0,0
Male,Once or twice a month,Every day,15.92,Native,-.6196,0,101-200 books,15,.8243,95.10508,617.13342,646.85791,594.35449,1,1,0,0,0,0
Male,Every day,Every day,15.92,Native,2.5915,0,26-100 books,13,-.1676,95.10508,370.96179,314.62869,352.54901,0,0,0,1,1,1
Male,Once or twice a week,Once or twice a week,15.92,Native,.9357,0,26-100 books,18,.9422,95.10508,590.09912,601.95892,598.36688,0,1,0,0,0,0
Male,Never or hardly ever,Once or twice a month,16.08,Native,.5371,0,26-100 books,13,.0221,95.10508,603.98218,669.52808,650.87598,1,1,1,0,0,0
Male,Never or hardly ever,Every day,16,Native,-.4538,0,201-500 books,13,-.0978,95.10508,596.99689,626.55103,618.95398,0,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.58,Native,2.5915,0,201-500 books,10,.0026,95.10508,604.42261,609.20831,635.71558,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.42,Native,1.5611,0,26-100 books,18,.9915,95.10508,534.95349,508.72931,544.66748,0,0,0,0,0,0
Female,Almost every day,Never or hardly ever,15.67,Native,1.398,0,26-100 books,10,-.1115,95.10508,532.61761,536.35651,588.2757,0,0,0,0,0,0
Male,Once or twice a week,Once or twice a month,15.75,Native,.88,0,101-200 books,15,.286,95.10508,675.2049,688.38843,640.25,1,1,1,0,0,0
Male,Once or twice a week,Once or twice a week,15.33,Native,1.0269,0,201-500 books,13,-.4751,95.10508,521.5069,592.29541,556.87579,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.17,Native,.6642,0,26-100 books,13,-.2441,97.89447,518.6344,552.0351,592.4231,0,0,0,0,0,0
Female,Once or twice a week,Once or twice a week,15.92,Second-Generation,.4638,0,201-500 books,13,.1541,97.89447,548.98651,505.0192,539.94971,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.17,Second-Generation,.9357,0,26-100 books,18,.3942,97.89447,422.54099,379.50821,418.15689,0,0,0,1,1,1
Female,Once or twice a week,Never or hardly ever,16.08,Native,.9646,0,101-200 books,18,1.0083,97.89447,467.3175,502.34299,517.51477,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.92,Native,1.5043,0,101-200 books,10,-.334,97.89447,465.17911,475.95969,486.5972,0,0,0,0,0,0
Female,Once or twice a month,Never or hardly ever,16,Native,1.5611,0,More than 500 books,18,1.9233,97.89447,520.28851,504.87869,529.2785,0,0,0,0,0,0
Female,Once or twice a week,Never or hardly ever,15.58,Native,.2365,0,101-200 books,13,-.1187,97.89447,537.0097,570.57611,572.815,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.75,Native,.3171,0,0-10 books,10,-.3421,97.89447,423.10941,381.12189,417.42859,0,0,0,1,1,1
Female,Almost every day,Almost every day,15.83,Second-Generation,.412,0,26-100 books,10,-1.0135,97.89447,567.79327,579.21411,585.14819,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.92,Native,.6642,0,26-100 books,15,-1.0206,97.89447,475.3244,504.8735,494.5946,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.58,Native,.2493,0,101-200 books,18,1.2074,97.89447,508.05051,502.05289,546.72528,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.92,Second-Generation,.1282,0,0-10 books,10,-1.5609,97.89447,417.7699,357.03821,386.7395,0,0,0,1,1,1
Female,Never or hardly ever,Never or hardly ever,16.08,Native,1.5611,0,201-500 books,18,1.1399,97.89447,559.02161,596.67383,561.2431,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.75,Native,.6642,0,101-200 books,10,-.2157,97.89447,632.15698,640.3808,670.77863,1,1,1,0,0,0
Male,Almost every day,Almost every day,15.92,Native,.1052,0,26-100 books,13,-1.0796,104.2896,522.85083,566.89862,507.86191,0,0,0,0,0,0
Male,Once or twice a week,Almost every day,16.08,Native,.9357,1,101-200 books,13,.1692,104.2896,490.41031,450.5126,429.57361,0,0,0,0,0,1
Male,Never or hardly ever,Never or hardly ever,16.08,Native,-.2913,0,201-500 books,10,.2148,104.2896,485.39209,481.14819,451.32819,0,0,0,0,0,0
Male,Every day,Every day,16,Native,-2.4441,0,201-500 books,15,.7198,104.2896,460.17349,458.52771,402.0213,0,0,0,0,0,1
Male,Once or twice a month,Once or twice a month,15.83,Native,.5943000000000001,0,11-25 books,15,.5199,104.2896,450.3735,420.08029,412.25821,0,0,0,0,1,1
Male,Once or twice a week,Once or twice a week,16.08,Native,.5073,1,11-25 books,18,-.0449,104.2896,386.55829,324.2998,348.64182,0,0,0,1,1,1
Female,Never or hardly ever,Never or hardly ever,15.5,Native,.4638,0,201-500 books,18,1.6115,89.84468,579.9101,647.03442,616.63531,0,1,1,0,0,0
Female,Never or hardly ever,Once or twice a month,15.5,Native,-.8127,0,201-500 books,18,.6735,89.84468,553.60822,590.21588,586.0932,0,0,0,0,0,0
Male,Once or twice a week,Once or twice a week,15.42,Native,2.5915,0,101-200 books,18,.9165,93.42721,606.8244,628.74518,617.0899,1,1,1,0,0,0
Male,Almost every day,Almost every day,15.58,Native,.0248,0,26-100 books,18,.9096,93.42721,546.99249,523.95868,558.94611,0,0,0,0,0,0
Male,Once or twice a month,Once or twice a month,15.5,Native,.0806,0,101-200 books,18,1.2718,93.42721,640.37341,674.90399,643.21722,1,1,1,0,0,0
Male,Once or twice a week,Every day,15.58,Native,.0698,0,201-500 books,18,1.2387,93.42721,583.79462,593.1358,564.46582,0,0,0,0,0,0
Male,Once or twice a week,Once or twice a week,15.33,Second-Generation,.0248,0,101-200 books,15,-.4743,93.42721,608.15381,638.33441,615.5014,1,1,1,0,0,0
Female,Never or hardly ever,Once or twice a month,15.67,Native,2.5915,0,201-500 books,18,1.8071,83.48202000000001,550.8833,596.57288,637.42212,0,0,1,0,0,0
Male,Almost every day,Almost every day,16,Native,.6642,0,More than 500 books,13,.9422,83.59674,616.62732,653.21759,613.97113,1,1,1,0,0,0
Male,Once or twice a month,Almost every day,16,Native,1.0269,0,More than 500 books,15,.4145,83.59674,612.72949,629.26941,605.58691,1,1,1,0,0,0
Male,Never or hardly ever,Once or twice a month,15.92,Native,-.4725,0,101-200 books,15,.19,83.59674,542.13037,554.89508,550.81403,0,0,0,0,0,0
Male,Once or twice a week,Every day,15.67,Native,-.2588,0,26-100 books,15,-.2656,83.59674,695.92743,702.94879,664.02118,1,1,1,0,0,0
Male,Once or twice a month,Every day,15.33,Native,-.5348000000000001,0,101-200 books,18,1.2893,83.59674,572.94818,621.75922,611.04639,0,1,1,0,0,0
Male,Almost every day,Every day,15.67,Native,.7934,1,101-200 books,18,1.4183,93.42721,514.44592,507.70941,471.0733,0,0,0,0,0,0
Male,Never or hardly ever,Never or hardly ever,15.67,Native,.2803,0,26-100 books,13,-.3644,93.42721,631.34253,687.78479,602.15869,1,1,1,0,0,0
Male,Never or hardly ever,Almost every day,15.58,Native,.9646,0,26-100 books,18,1.5258,93.42721,671.97308,710.26312,663.11627,1,1,1,0,0,0
Male,Once or twice a week,Almost every day,15.42,Native,-.7244,0,101-200 books,18,1.0595,93.42721,572.7038,607.50763,547.54199,0,1,0,0,0,0
Male,Once or twice a week,Almost every day,15.58,Native,.6051,0,201-500 books,15,.8068,93.42721,670.98499,688.66467,644.95282,1,1,1,0,0,0
Male,Once or twice a week,Every day,15.92,Native,.9646,1,201-500 books,15,.5624,114.8743,445.5209,486.5538,511.2634,0,0,0,1,0,0
Female,Never or hardly ever,Never or hardly ever,15.42,Native,1.398,0,201-500 books,10,.1187,119.2103,470.16269,514.61987,518.91779,0,0,0,0,0,0
Female,Once or twice a month,Once or twice a month,15.58,Native,1.398,0,26-100 books,13,-.4702,119.2103,546.74548,514.74231,554.71252,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.5,Second-Generation,2.5915,0,201-500 books,10,-.3992,119.2103,521.46307,522.09479,579.5509,0,0,0,0,0,0
Male,Once or twice a week,Never or hardly ever,15.58,Native,.1643,0,26-100 books,13,-.3613,114.8743,422.48041,413.73499,466.98749,0,0,0,1,1,0
Male,Never or hardly ever,Almost every day,15.67,Native,-.5064,0,11-25 books,18,.7691,114.8743,462.85989,435.59479,429.31851,0,0,0,0,1,1
Male,Every day,Every day,15.67,First-Generation,2.5915,0,11-25 books,15,-.2779,114.8743,402.5798,326.70959,342.7485,0,0,0,1,1,1
Male,Every day,Every day,15.5,Native,.6241,0,11-25 books,18,.8149,114.8743,542.90253,537.63159,529.5575,0,0,0,0,0,0
Male,Almost every day,Every day,15.42,Native,.2493,0,26-100 books,15,.0536,114.8743,527.52777,512.5387,523.82538,0,0,0,0,0,0
Male,Never or hardly ever,Once or twice a week,15.42,Native,.6642,0,101-200 books,10,-.0584,114.8743,450.02029,453.13049,488.46951,0,0,0,0,0,0
Male,Never or hardly ever,Almost every day,15.67,Second-Generation,.2947,0,26-100 books,18,1.1373,114.8743,544.5473,540.51489,569.59131,0,0,0,0,0,0
Female,Once or twice a month,Never or hardly ever,16.25,First-Generation,-1.7086,0,11-25 books,13,.1869,119.7135,451.25281,514.44159,544.06799,0,0,0,0,0,0
Female,Once or twice a week,Once or twice a week,16.17,Second-Generation,.1052,0,11-25 books,15,-.5879,119.7135,552.0957,582.34583,636.21442,0,0,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.17,Native,-.4089,0,101-200 books,13,-.1157,119.7135,525.57788,576.85229,628.06598,0,0,1,0,0,0
Female,Almost every day,Never or hardly ever,16,Native,1.398,0,26-100 books,13,.4918,119.7135,549.62512,608.25122,616.07758,0,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.83,Native,.1052,0,More than 500 books,18,1.4677,119.7135,500.9841,591.52991,613.28821,0,0,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.25,Second-Generation,-.8144,0,26-100 books,15,-.5255,119.7135,484.13309,454.12509,533.42963,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.92,Native,2.5915,0,11-25 books,10,-1.0873,119.7135,455.10071,509.51511,590.70398,0,0,0,0,0,0
Female,Once or twice a month,Once or twice a month,16.17,Native,-1.2097,0,26-100 books,13,-.5158,119.7135,431.50519,511.18539,507.08279,0,0,0,1,0,0
Male,Once or twice a month,Almost every day,15.92,Native,.331,0,26-100 books,15,.0376,114.8743,517.27551,508.8421,493.0549,0,0,0,0,0,0
Male,Almost every day,Every day,16.17,Native,.6642,0,0-10 books,15,-.7743,114.8743,596.32813,581.34869,567.53778,0,0,0,0,0,0
Male,Never or hardly ever,Once or twice a month,16.33,Native,.9646,0,More than 500 books,18,1.6042,114.8743,479.0293,492.43811,521.01709,0,0,0,0,0,0
Male,Once or twice a month,Almost every day,16.33,Second-Generation,.7934,0,11-25 books,15,.1274,114.8743,567.06421,558.57098,618.78247,0,0,1,0,0,0
Male,Almost every day,Almost every day,16.33,Native,.4438,0,26-100 books,13,-.7605,114.8743,546.15442,510.25781,548.36047,0,0,0,0,0,0
Male,Once or twice a month,Never or hardly ever,16.17,Second-Generation,.045,0,More than 500 books,18,1.7642,114.8743,556.41742,619.20227,619.9693,0,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.75,Native,-.664,0,0-10 books,18,.0986,119.2103,418.9115,424.22229,456.67401,0,0,0,1,1,0
Female,Never or hardly ever,Never or hardly ever,15.75,Native,1.5043,0,11-25 books,10,-1.6846,119.2103,439.11951,468.7489,483.1702,0,0,0,1,0,0
Male,Almost every day,Never or hardly ever,15.83,Second-Generation,-.082,0,101-200 books,10,-.5363,114.8743,602.22479,560.44501,592.47522,1,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.25,Native,.1643,1,201-500 books,18,1.1361,123.6025,426.2832,456.0043,467.52011,0,0,0,1,0,0
Female,Almost every day,Never or hardly ever,15.5,Native,.9357,0,201-500 books,13,-.429,123.6025,530.41071,583.88708,624.59027,0,0,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.42,Native,-.9199000000000001,0,26-100 books,13,.1129,123.6025,512.44458,516.508,562.10272,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.67,Native,.9357,0,26-100 books,15,.6502,123.6025,638.23682,654.25043,677.83789,1,1,1,0,0,0
Female,Almost every day,Once or twice a month,15.5,Native,.9357,0,101-200 books,15,.3764,123.6025,518.75208,584.34668,559.87817,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.58,Native,-.0621,0,More than 500 books,10,.0504,123.6025,565.0553,650.03491,609.69598,0,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.25,Native,.9357,0,201-500 books,13,.5586,123.6025,519.9707,566.35211,594.60083,0,0,0,0,0,0
Male,Once or twice a week,Almost every day,15.5,Native,.6642,0,26-100 books,15,.5759,117.8304,588.8924,616.93701,616.46069,0,1,1,0,0,0
Male,Never or hardly ever,Never or hardly ever,15.42,Native,-1.8419,0,101-200 books,13,.2549,117.8304,636.82758,670.77332,668.42407,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.92,Native,.3171,0,101-200 books,18,1.7625,117.8304,404.83929,385.5983,449.5769,0,0,0,1,1,1
Female,Once or twice a month,Never or hardly ever,15.92,Native,-.6607,0,26-100 books,18,1.3637,117.8304,545.87518,525.23322,525.84497,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.83,Native,.9357,0,101-200 books,15,.5314,117.8304,564.72968,565.10028,543.07343,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.08,Native,-.7346,0,26-100 books,15,.474,117.8304,571.1004,570.39478,539.33301,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.17,Native,-.7911,0,More than 500 books,18,1.2366,117.8304,599.10437,607.60168,609.36047,0,1,1,0,0,0
Female,Once or twice a month,Never or hardly ever,16.17,Native,-.5064,0,More than 500 books,18,1.3211,117.8304,570.29071,622.38092,543.74231,0,1,0,0,0,0
Male,Never or hardly ever,Never or hardly ever,16.17,Native,1.5043,0,More than 500 books,10,-.1254,117.8304,612.83539,650.91791,682.51202,1,1,1,0,0,0
Male,Once or twice a week,Once or twice a week,16.17,Native,-1.3542,0,101-200 books,13,-.3045,117.8304,483.8483,507.5036,485.9631,0,0,0,0,0,0
Male,Never or hardly ever,Once or twice a week,15.92,Native,1.398,0,101-200 books,13,.2921,117.8304,619.54993,656.34161,615.6239,1,1,1,0,0,0
Female,Once or twice a month,Never or hardly ever,15.5,Native,.6846,0,201-500 books,18,.964,123.6025,624.39008,685.7793,736.54688,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.5,Native,-.3381,0,11-25 books,10,-.4885,123.6025,499.71689,511.54599,522.66333,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.67,Native,-.0621,0,201-500 books,13,-.0013,123.6025,585.53833,640.8197,651.57422,0,1,1,0,0,0
Male,Once or twice a week,Almost every day,15.75,Native,-.1314,0,101-200 books,13,-.3212,117.8304,514.11792,544.27588,539.1087,0,0,0,0,0,0
Male,Never or hardly ever,Almost every day,15.83,Native,.9357,1,101-200 books,15,.6171,117.8304,583.62488,570.77509,580.54773,0,0,0,0,0,0
Male,Almost every day,Almost every day,15.58,Native,.6642,0,201-500 books,13,.1244,117.8304,588.17987,594.9718,596.71582,0,0,0,0,0,0
Male,Once or twice a month,Once or twice a month,15.67,Second-Generation,.9357,1,26-100 books,18,.3744,116.0117,503.65921,477.2092,542.15558,0,0,0,0,0,0
Male,Almost every day,Every day,15.42,Native,-.0469,0,More than 500 books,18,1.3915,116.0117,640.61102,658.44958,629.08643,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.25,Native,2.5915,0,101-200 books,15,.3997,104.5231,666.5752,659.21881,589.96417,1,1,0,0,0,0
Male,Almost every day,Almost every day,15.5,Second-Generation,.3749,0,26-100 books,15,-.3821,116.0117,567.8656,528.28131,489.9032,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.92,Native,1.5611,0,More than 500 books,18,1.646,104.5231,635.38409,665.55969,616.90887,1,1,1,0,0,0
Female,Once or twice a month,Never or hardly ever,16.33,Native,.3549,0,201-500 books,13,.183,104.5231,628.59698,669.17859,640.41248,1,1,1,0,0,0
Male,Every day,Once or twice a month,15.75,Native,.1464,0,101-200 books,18,1.0724,104.5231,636.72791,646.026,593.84662,1,1,0,0,0,0
Male,Almost every day,Once or twice a week,16.25,Native,.1052,0,More than 500 books,18,1.8099,104.5231,591.1524,655.72998,570.00238,0,1,0,0,0,0
Male,Never or hardly ever,Almost every day,16.17,Native,.6846,0,26-100 books,18,1.1178,104.5231,605.23138,676.33667,610.36493,1,1,1,0,0,0
Male,Once or twice a month,Once or twice a week,16.08,Native,1.5611,0,201-500 books,18,1.3683,104.5231,520.28381,509.50201,515.474,0,0,0,0,0,0
Male,Almost every day,Almost every day,16.25,Native,.1802,0,101-200 books,18,1.5929,104.5231,727.38672,730.7157,698.85651,1,1,1,0,0,0
Male,Once or twice a month,Never or hardly ever,15.58,Native,-.6837,0,26-100 books,13,-.4009,116.0117,616.41278,568.84558,482.8118,1,0,0,0,0,0
Male,Once or twice a week,Once or twice a week,15.5,Second-Generation,-.2511,1,26-100 books,18,1.7649,115.3092,494.0282,468.09689,484.59711,0,0,0,0,0,0
Male,Almost every day,Almost every day,15.58,Native,.6642,1,26-100 books,18,1.0734,115.3092,514.49359,490.81149,455.89331,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.67,Native,-1.5827,0,101-200 books,18,.6919,127.7362,428.05499,422.08649,451.8992,0,0,0,1,1,0
Female,Never or hardly ever,Never or hardly ever,16.08,Native,-.9626,1,11-25 books,10,-1.407,127.7362,492.0293,521.97839,483.97339,0,0,0,0,0,0
Male,Almost every day,Almost every day,15.5,Second-Generation,.75,0,26-100 books,18,.8834,115.3092,357.78629,299.14099,284.85181,0,0,0,1,1,1
Female,Once or twice a month,Once or twice a month,16,Second-Generation,-1.4975,0,11-25 books,15,-.6109,115.3092,427.83109,425.05331,457.1532,0,0,0,1,1,0
Female,Once or twice a week,Never or hardly ever,15.67,Native,-.7527,0,26-100 books,13,-.3386,115.3092,444.83899,453.25931,485.5206,0,0,0,1,0,0
Female,Once or twice a week,Never or hardly ever,15.67,Second-Generation,-.0621,0,26-100 books,18,1.1794,115.3092,538.67529,555.14948,592.27393,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.67,Second-Generation,.2906,0,11-25 books,13,-1.0851,115.3092,442.16809,424.42151,461.2326,0,0,0,1,1,0
Male,Once or twice a week,Almost every day,15.75,Native,1.1245,0,26-100 books,13,-.9049,115.3092,426.04691,439.922,458.43051,0,0,0,1,1,0
Male,Never or hardly ever,Never or hardly ever,16.25,Native,-.0944,0,11-25 books,18,.5471,115.3092,488.3389,480.41049,456.25562,0,0,0,0,0,0
Male,Almost every day,Almost every day,16.25,Second-Generation,.6642,0,26-100 books,10,-.6651,115.3092,412.37299,404.952,416.02151,0,0,0,1,1,1
Male,Once or twice a month,Once or twice a week,15.92,Native,-.8729,0,26-100 books,13,.5906,115.3092,462.31271,490.26459,523.65143,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.92,First-Generation,.9646,1,11-25 books,15,-.3558,127.7362,429.98041,455.18729,492.12009,0,0,0,1,0,0
Male,Every day,Every day,15.42,Native,-.6372,0,101-200 books,13,-.4446,100.3955,530.10773,527.31677,464.7337,0,0,0,0,0,0
Female,Almost every day,Almost every day,15.67,First-Generation,1.5043,0,26-100 books,3,-2.2507,107.2271,448.86511,444.6282,451.5188,0,0,0,1,1,0
